date,open,high,low,close,volume
2025-03-30,0.8044,0.8156,0.7849,0.7951,37809.07
2025-03-31,0.7951,0.7993,0.7684,0.7932,33594.79
2025-04-01,0.7932,0.8067,0.7804,0.8026,8916.65
2025-04-02,0.8026,0.8057,0.7698,0.7789,16911.27
2025-04-03,0.7789,0.7838,0.7332,0.7486,7241.11
2025-04-04,0.7501,0.7598,0.7287,0.7388,25278.2
2025-04-05,0.7388,0.7457,0.7281,0.744,2578.46
2025-04-06,0.7395,0.7419,0.698,0.7051,24265.89
2025-04-07,0.7051,0.7068,0.6586,0.695,30558.77
2025-04-08,0.695,0.7061,0.6658,0.6731,3564.41
2025-04-09,0.6731,0.7117,0.6488,0.7067,44441.88
2025-04-10,0.7067,0.7089,0.6725,0.6799,71595.1
2025-04-11,0.6799,0.7152,0.6753,0.7002,10302.27
2025-04-12,0.7002,0.7245,0.6987,0.7101,6752.11
2025-04-13,0.7035,0.7059,0.6883,0.6925,7151.56
2025-04-14,0.6927,0.7015,0.6894,0.6952,4564.88
2025-04-15,0.6952,0.7114,0.691,0.7049,9642.76
2025-04-16,0.7049,0.7109,0.6905,0.701,2464.04
2025-04-17,0.701,0.7046,0.6804,0.6828,5294.5
2025-04-18,0.6828,0.6828,0.6526,0.6554,6746.67
2025-04-19,0.6554,0.6717,0.6552,0.6635,26489.58
2025-04-20,0.6635,0.671,0.6555,0.6605,6528.57
2025-04-21,0.6617,0.68,0.6572,0.6669,12696.23
2025-04-22,0.6669,0.7264,0.6936,0.6974,30558.44
2025-04-23,0.6953,0.7179,0.6921,0.7077,32491.31
2025-04-24,0.7077,0.7676,0.6823,0.7252,22579.27
2025-04-25,0.7252,0.7676,0.7252,0.7419,21919.38
2025-04-26,0.7419,0.752,0.7381,0.7399,6083.72
2025-04-27,0.7399,0.7458,0.7218,0.7242,6214.13
2025-04-28,0.7242,0.7451,0.7223,0.7299,8951.67
2025-04-29,0.7299,0.7419,0.7262,0.7264,5943.71
2025-04-30,0.7335,0.7516,0.7224,0.7403,14490.49
2025-05-01,0.7407,0.7504,0.7328,0.7335,19950.49
2025-05-02,0.7335,0.7439,0.7335,0.7348,35924.26
2025-05-03,0.7348,0.742,0.7281,0.7282,3989.79
2025-05-04,0.7282,0.737,0.7205,0.7212,3134.91
2025-05-05,0.7212,0.7224,0.7097,0.7168,3470.6
2025-05-06,0.7168,0.7172,0.7048,0.7083,5489.05
2025-05-07,0.7083,0.7167,0.7051,0.7164,2380.33
2025-05-08,0.7164,0.8786,0.7121,0.7529,217041.36
2025-05-09,0.7529,0.7834,0.7485,0.7628,87783.73
2025-05-10,0.7628,0.7962,0.7628,0.7919,47539.23
2025-05-11,0.7919,0.8333,0.768,0.8102,27954.6
2025-05-12,0.8102,0.8463,0.7838,0.8035,65652.23
2025-05-13,0.8035,0.8249,0.7788,0.8203,11492.59
2025-05-14,0.8203,0.8206,0.7608,0.7881,24256.73
2025-05-15,0.7881,0.7881,0.7474,0.7544,35255.01
2025-05-16,0.7544,0.7578,0.74,0.74,15068.26
2025-05-17,0.74,0.74,0.7236,0.7236,3821.62
2025-05-18,0.7252,0.7593,0.7337,0.739,10954.59
2025-05-19,0.7389,0.7389,0.7242,0.7267,4549.8
2025-05-20,0.7267,0.7527,0.7267,0.7468,38477.58
2025-05-21,0.7468,0.7511,0.7344,0.7403,68063.44
2025-05-22,0.7403,0.7692,0.7389,0.7681,61756.62
2025-05-23,0.7681,0.7753,0.7312,0.7312,92927.32
2025-05-24,0.7312,0.7427,0.7291,0.7342,31755.48
2025-05-25,0.7342,0.7465,0.7219,0.7321,54578.05
2025-05-26,0.7321,0.7421,0.7296,0.7372,46527.09
2025-05-27,0.7372,0.7411,0.7286,0.7325,35276.66
2025-05-28,0.7325,0.7347,0.72,0.7295,54169.78
2025-05-29,0.7295,0.7326,0.6946,0.6997,86800.13
2025-05-30,0.6997,0.7,0.6602,0.671,119932.88
2025-05-31,0.671,0.6877,0.6629,0.6797,50576.16
2025-06-01,0.6797,0.6866,0.6713,0.684,34919.11
2025-06-02,0.684,0.6874,0.6758,0.685,38734.25
2025-06-03,0.685,0.6871,0.6746,0.6752,74874.87
2025-06-04,0.6752,0.6837,0.6609,0.6613,30431.2
2025-06-05,0.6613,0.6677,0.6271,0.6307,34732.6
2025-06-06,0.6307,0.6414,0.6267,0.6348,26500.66
2025-06-07,0.6348,0.6598,0.6347,0.6541,15723.14
2025-06-08,0.6541,0.6541,0.6395,0.6459,8221.14
2025-06-09,0.6459,0.6592,0.6431,0.6576,14448.75
2025-06-10,0.6576,0.6804,0.6556,0.6774,44335.31
2025-06-11,0.6774,0.686,0.6612,0.6661,66738.52
2025-06-12,0.6661,0.669,0.6496,0.6572,44083.98
2025-06-13,0.6572,0.6572,0.6258,0.6418,109918.03
2025-06-14,0.6418,0.6463,0.6334,0.6355,22023.22
2025-06-15,0.6355,0.6374,0.6117,0.6218,20628.59
2025-06-16,0.6218,0.6331,0.6157,0.617,71528.82
2025-06-17,0.617,0.6202,0.5918,0.5941,47874.61
2025-06-18,0.5941,0.6077,0.5557,0.6053,35792.42
2025-06-19,0.6053,0.638,0.6032,0.6331,93118.8
2025-06-20,0.6331,0.6378,0.6201,0.6284,36241.12
2025-06-21,0.6284,0.6426,0.6036,0.6134,46667.95
2025-06-22,0.6134,0.6185,0.569,0.5853,62688
2025-06-23,0.5853,0.6082,0.5746,0.6082,26337.47
2025-06-24,0.6082,0.6166,0.6028,0.6116,20978.36
2025-06-25,0.6116,0.6165,0.6053,0.6076,17370.06
2025-06-26,0.6065,0.6154,0.6048,0.6095,42663464.66
2025-06-27,0.6022,0.6023,0.5942,0.5999,6478289.04
